claim_id,slide_number,claim,source_path,table_row_or_json_key,experiment_identity,data_scope,target_policy,evaluation_support,aggregation,comparator,status,limitation
C11,2,Public scores come from user-supplied Kaggle screenshots recorded on 7 September 2026,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv,source_attachment; recorded_on,score record,Kaggle public leaderboard,n/a,hidden test endpoints,n/a,n/a,documented,Not a live lookup; the recording date is not the submission date
C12,2,The public leaderboard scores about 30% of the test data; the final standing uses the other 70%,literature_and_planning/KAGGLE_CHALLENGE.md,Evaluation section,competition rules,hidden test set,n/a,hidden test endpoints,n/a,n/a,documented,Public positions may change substantially
C13,3,"The training file holds 100 UAVs, 24,720 rows and 28 telemetry channels",1_dataset_construction/1_structural_data_audit/artifacts/dataset_audit.json,"train.rows, train.uavs",Phase 1 structural audit,raw training data,n/a,n/a,100 training UAVs,none,verified,
C14,3,telemetry_20 and telemetry_27 take exactly one distinct value in the training data,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,unique_values,"Phase 0 broad review, constant-feature detection",raw training data,n/a,n/a,100 training UAVs,none,verified,
C15,3,telemetry_03 and telemetry_17 have 97.836% of rows inside a flatline run of at least 5 cycles,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,flatline_rows_percent,"Phase 0 broad review, constant-feature detection",raw training data,n/a,n/a,100 training UAVs,none,verified,
C16,3,telemetry_14 has 93.920% and telemetry_08 92.994% of rows inside such a run,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,flatline_rows_percent,"Phase 0 broad review, constant-feature detection",raw training data,n/a,n/a,100 training UAVs,none,verified,
C17,3,"Six channels (03, 08, 14, 17, 20, 27) fail the effectively-constant test and were removed",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,"effectively_constant, removal_candidate","Phase 0 broad review, constant-feature detection",raw training data,n/a,n/a,100 training UAVs,none,verified,The test is a relative tolerance of 1e-10 on the observed range
C18,3,22 non-constant channels remain and are the only channels any feature set may use,1_dataset_construction/7_fold_fitted_preprocessing/artifacts/preprocessing_config.json,feature_counts.all_nonconstant = 606 = 22 x 27 + 10 + 2,Phase 1 feature catalogue,raw training data,n/a,n/a,100 training UAVs,none,verified,
C19,4,The declared degradation threshold is |median within-UAV Spearman with RUL| >= 0.30 with the same trend direction in >= 70% of UAVs,0_data_analysis/core_data_analysis/channel_classification.py,"--temporal-correlation-threshold, --trend-consistency-threshold","Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,documented,
C20,4,"Ten channels meet it: 07, 13, 15, 16, 19, 21, 22, 23, 25 and 28",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,degradation_candidate,"Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,
C21,4,"telemetry_07, 13, 19, 21 and 22 increase in 100% of the 100 training UAVs",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,"dominant_trend_direction, dominant_trend_uavs_percent","Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,
C22,4,"telemetry_16, 25 and 28 decrease in 100% of the training UAVs",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,"dominant_trend_direction, dominant_trend_uavs_percent","Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,
C23,4,telemetry_15 increases in 76% of UAVs and telemetry_23 decreases in 84%,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,dominant_trend_uavs_percent,"Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,
C24,4,telemetry_15 has the strongest within-UAV correlation with RUL at -0.864,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,median_within_spearman_rul,"Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,
C25,4,telemetry_18 has a median within-UAV Spearman correlation with RUL of -0.019,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,median_within_spearman_rul,"Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,"Its age-controlled partial correlation is much larger, which is why the pooled view is misleading"
C26,4,"telemetry_06, 11, 12, 24 and 26 have substantial within-UAV correlations but only 52-59% direction agreement",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,"median_within_spearman_rul, dominant_trend_uavs_percent","Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,verified,
C27,4,A correlation is not predictive value; the ten channels are candidates for feature engineering only,literature_and_planning/development_documentation/phase_0_dataAnalysis.md,Core Data Analysis Summary,"Phase 0 core analysis, temporal and RUL relationships",raw training data,n/a,n/a,100 training UAVs,none,documented,Predictive value is decided later by UAV-grouped validation
C28,5,Seventeen non-constant channels have most of their variance inside UAV histories,0_data_analysis/broad_data_review/figures/within_between_variance/within_between_variance.csv,within_share,"Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,verified,
C29,5,"All ten degradation candidates are within-UAV dominated, between 74% and 87%",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,within_uav_variance_share,"Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,verified,
C30,5,telemetry_18 has 95.7% of its variance between UAVs,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,between_uav_variance_share,"Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,verified,
C31,5,"telemetry_26 has 85.3%, telemetry_01 79.8% and telemetry_06 50.2% between UAVs",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,between_uav_variance_share,"Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,verified,
C32,5,The context threshold is a between-UAV variance share of at least 50%,0_data_analysis/core_data_analysis/channel_classification.py,--between-variance-threshold,"Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,documented,
C33,5,"The six removed channels appear in the decomposition as constant, with no bar",0_data_analysis/broad_data_review/figures/within_between_variance/within_between_variance.csv,constant,"Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,verified,
C34,5,The decomposition cannot separate degradation from operating state or noise,literature_and_planning/development_documentation/phase_0_dataAnalysis.md,"Within-UAV versus between-UAV variance, Important caveats","Phase 0 broad review, within/between variance decomposition",raw training data,n/a,n/a,100 training UAVs,none,documented,Only UAV-grouped validation separates useful context from UAV identity
C35,6,Matched-age comparison pairs each test endpoint with training UAVs observed at the same flight cycle,0_data_analysis/core_data_analysis/train_test_drift.py,matched_endpoint_drift,"Phase 0 core analysis, train/test drift",raw train and test,n/a,n/a,100 training UAVs,none,documented,
C36,6,Every channel's median age-matched shift is below 0.27 training IQRs,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,median_iqr_shift,"Phase 0 core analysis, train/test drift",raw train and test,n/a,n/a,100 training UAVs,none,verified,
C37,6,"The largest matched shifts are telemetry_28 (-0.264), 07 (+0.250) and 21 (+0.233) IQRs",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,median_iqr_shift,"Phase 0 core analysis, train/test drift",raw train and test,n/a,n/a,100 training UAVs,none,verified,
C38,6,telemetry_05 shows +2.30 row-level SD and +11.34 UAV-level SD of raw mean shift,0_data_analysis/core_data_analysis/figures/train_test_drift/matched_endpoint_drift_summary.csv,standardized_mean_shift,"Phase 0 core analysis, train/test drift",raw train and test,n/a,n/a,100 training UAVs,none,verified,Its median shift is small; a few extreme values drive the mean
C39,6,16% of telemetry_05 test endpoints fall outside the same-age training range,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,outside_train_age_range_percent,"Phase 0 core analysis, train/test drift",raw train and test,n/a,n/a,100 training UAVs,none,verified,
C40,6,"telemetry_22 is next at 9%, and telemetry_07 and 21 at 6% each",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,outside_train_age_range_percent,"Phase 0 core analysis, train/test drift",raw train and test,n/a,n/a,100 training UAVs,none,verified,
C41,6,No channel was removed because it drifted; drift became a validation requirement,literature_and_planning/development_documentation/phase_0_dataAnalysis.md,"Train/test drift, What this means for us","Phase 0 core analysis, train/test drift",raw training data,n/a,n/a,100 training UAVs,none,documented,At the longest ages only four training UAVs are available for comparison
C42,7,"The screening matrix classifies 6 removal, 10 degradation, 4 context and 1 state/regime channel",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,"removal_candidate, degradation_candidate, context_candidate, state_or_regime_candidate","Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C43,7,Ten channels are flagged for anomaly review,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,anomaly_review,"Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C44,7,Fourteen channels are flagged as redundancy candidates,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,redundancy_candidate,"Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C45,7,Fifteen channels carry a train/test drift warning,0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,train_test_drift_warning,"Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C46,7,"The four redundancy groups are 19/21, 15/23, 13/16/22/25/28 and 06/07/11/12/24",0_data_analysis/core_data_analysis/figures/feature_redundancy/correlation_clusters.csv,cluster_id,"Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C47,7,telemetry_19 and 21 correlate at r = 0.999 between UAVs and 0.963 across rows,0_data_analysis/core_data_analysis/figures/feature_redundancy/strongly_correlated_pairs.csv,"uav_pearson, row_pearson","Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C48,7,"Both were kept: no channel was removed for redundancy, anomalies or drift in Phase 0",literature_and_planning/development_documentation/phase_0_dataAnalysis.md,"Initial channel classification, What this means for us","Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,documented,
C49,7,"telemetry_07 meets the degradation, state, anomaly, redundancy and drift criteria at once",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,all flag columns,"Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C50,7,"96.541% of telemetry_07 rows lie inside a flatline run, so it is represented as an operating state",0_data_analysis/core_data_analysis/figures/channel_classification/channel_classification.csv,flatline_rows_percent,"Phase 0 core analysis, initial channel classification",raw training data,n/a,n/a,100 training UAVs,none,verified,
C51,8,"Validation uses 5 outer folds of 20 UAVs, each with 4 inner folds inside its 80 training UAVs",1_dataset_construction/2_UAV_grouped_validation_folds/artifacts/fold_config.json,"outer_folds, inner_folds",Phase 1 legacy profile,training UAVs,n/a,n/a,100 training UAVs,none,verified,
C52,8,The folds are balanced by terminal lifetime with seed 20260814,1_dataset_construction/2_UAV_grouped_validation_folds/artifacts/fold_config.json,"balance_variable, seed",Phase 1 legacy profile,training UAVs,n/a,n/a,100 training UAVs,none,verified,
C53,8,5 outer rounds x 4 inner rounds is 20 inner train/validate rounds; every UAV is held out once,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,outer_fold_uav_counts,Phase 1 legacy profile,training UAVs,n/a,n/a,100 training UAVs,none,verified,
C54,8,Ten leakage assertions are re-checked and the report status is passed,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,"assertions, status",Phase 1 legacy profile,training prefixes and scenarios,n/a,n/a,100 training UAVs,none,documented,"A passed report proves the encoded assertions hold, not that the model predicts well"
C55,8,Outer-validation UAVs are absent from every inner fold of their own outer round,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,assertions.outer_validation_uavs_absent_from_inner_folds,Phase 1 legacy profile,training UAVs,n/a,n/a,100 training UAVs,none,verified,
C56,8,Prefix features are unchanged when post-cutoff telemetry is replaced by extreme values,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,assertions.future_rows_cannot_change_prefix_features,Phase 1 legacy profile,10 sampled prefixes,n/a,n/a,100 training UAVs,none,verified,
C57,8,Saved fold-scaler parameters match a fresh recomputation for every outer fold and feature set,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,assertions.saved_preprocessing_parameters_match_recomputed_values,Phase 1 legacy profile,5 outer folds x 4 feature sets,n/a,n/a,100 training UAVs,none,verified,
C58,8,"The verified tables hold 2,000 training, 500 development, 2,000 locked and 100 test rows",1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,feature_files,Phase 1 legacy profile,all Phase 1 feature tables,n/a,n/a,100 training UAVs,none,verified,
C59,8,"Uncertainty is estimated by resampling whole UAVs, not prediction rows",1_dataset_construction/8_validation_metrics/artifacts/metric_specification.json,uncertainty,Phase 1 legacy profile,validation predictions,n/a,n/a,100 training UAVs,none,documented,
C60,9,Training histories span 145-525 cycles with a median of 220.5,data/train.csv,max(flight_cycle) per uav_id,recomputed in build_figures.py,raw train,n/a,n/a,100 training UAVs,none,verified,
C61,9,Test histories span 38-475 cycles with a median of 148.0,data/test.csv,max(flight_cycle) per uav_id,recomputed in build_figures.py,raw test,n/a,n/a,100 training UAVs,none,verified,
C62,9,"47 of 100 test UAVs stop before cycle 145, the shortest complete training life",data/test.csv; data/train.csv,max(flight_cycle) per uav_id,recomputed in build_figures.py,raw train and test,n/a,n/a,100 training UAVs,none,verified,
C63,9,Validation cutoffs are the exact empirical test UAV history lengths,1_dataset_construction/3_test_like_validation_scenarios/artifacts/scenario_config.json,cutoff_source,Phase 1 scenario and prefix construction,training UAVs,n/a,n/a,100 training UAVs,none,documented,
C64,9,Each training UAV receives 20 distinct cutoffs sampled without replacement from eligible test lengths,1_dataset_construction/4_training_prefixes/artifacts/training_prefix_config.json,"cutoffs_per_uav, cutoff_source",Phase 1 scenario and prefix construction,training UAVs,n/a,n/a,100 training UAVs,none,verified,
C65,9,"Each prefix carries weight 1/20, so every UAV has a total training weight of 1",1_dataset_construction/4_training_prefixes/artifacts/training_prefixes.csv,sample_weight,Phase 1 scenario and prefix construction,"2,000 training prefixes",n/a,n/a,100 training UAVs,none,verified,
C66,9,"That produces 2,000 training rows",1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,feature_files.training_features,Phase 1 scenario and prefix construction,training prefixes,n/a,n/a,100 training UAVs,none,verified,
C67,9,There are 5 development scenarios and 20 locked scenarios of 100 UAVs each,1_dataset_construction/3_test_like_validation_scenarios/artifacts/scenario_config.json,"development_scenarios, locked_scenarios",Phase 1 scenario and prefix construction,training UAVs,n/a,n/a,100 training UAVs,none,verified,
C68,9,Every scenario reproduces the exact multiset of test history lengths,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,assertions.locked_cutoffs_exactly_match_test_history_lengths,Phase 1 scenario and prefix construction,25 scenarios,n/a,n/a,100 training UAVs,none,verified,Cutoffs are drawn from the test input distribution; no test label is used
C69,10,Each channel yields 27 standard prefix features,literature_and_planning/development_documentation/phase_1_datasetConstruction.md,Feature derivation and purpose,Phase 1 feature engineering and preprocessing,training prefixes,n/a,n/a,100 training UAVs,none,documented,
C70,10,"Recent-window features use the last 5, 20 and 50 cycles",literature_and_planning/development_documentation/phase_1_datasetConstruction.md,"Recent 5-, 20- and 50-cycle features",Phase 1 feature engineering and preprocessing,training prefixes,n/a,n/a,100 training UAVs,none,documented,
C71,10,telemetry_07 and telemetry_16 receive 5 extra state features each,literature_and_planning/development_documentation/phase_1_datasetConstruction.md,State features,Phase 1 feature engineering and preprocessing,training prefixes,n/a,n/a,100 training UAVs,none,documented,
C72,10,22 x 27 + 10 + 2 = 606 candidate features,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,feature_files.*.features,Phase 1 feature engineering and preprocessing,all Phase 1 feature tables,n/a,n/a,100 training UAVs,none,verified,
C73,10,"The four declared feature sets hold 2, 24, 310 and 606 features",1_dataset_construction/7_fold_fitted_preprocessing/artifacts/preprocessing_config.json,feature_counts,Phase 1 feature engineering and preprocessing,training prefixes,n/a,n/a,100 training UAVs,none,verified,
C74,10,Scaling centres on the training-fold median and divides by IQR / 1.349,1_dataset_construction/7_fold_fitted_preprocessing/artifacts/preprocessing_config.json,scaling,Phase 1 feature engineering and preprocessing,outer-training UAV prefixes,n/a,n/a,100 training UAVs,none,verified,
C75,10,Scalers are fitted on outer-training UAV prefixes only,1_dataset_construction/7_fold_fitted_preprocessing/artifacts/preprocessing_config.json,fit_scope,Phase 1 feature engineering and preprocessing,outer-training UAV prefixes,n/a,n/a,100 training UAVs,none,verified,
C76,10,"4,405 features were scaled by IQR, 293 by a standard-deviation fallback and 12 by unit fallback",1_dataset_construction/7_fold_fitted_preprocessing/artifacts/preprocessing_config.json,scale_method_counts,Phase 1 feature engineering and preprocessing,5 outer folds x 4 feature sets,n/a,n/a,100 training UAVs,none,verified,
C77,10,"No feature name may contain RUL, target, terminal, lifetime, final or future",1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,assertions.feature_names_exclude_target_and_future_fields,Phase 1 feature engineering and preprocessing,all Phase 1 feature tables,n/a,n/a,100 training UAVs,none,verified,
C78,11,"The full-training baseline is predicted RUL = max(0, 187.331 - 0.54157 x flight_cycle)",1_dataset_construction/9_cycle_only_baseline/artifacts/full_training_coefficients.json,"intercept, slope",Phase 1 cycle-only baseline,all 100 training UAVs,raw RUL,n/a,100 training UAVs,none,verified,
C79,11,Baseline locked-scenario R2 is -0.005,1_dataset_construction/9_cycle_only_baseline/artifacts/metrics/overall_metrics.json,r2,Phase 1 cycle-only baseline,"20 locked scenarios, 2,000 rows",raw RUL,raw endpoint labels,pooled over held-out folds,mean predictor,verified,
C80,11,Baseline locked-scenario RMSE is 64.554 cycles and MAE 51.912,1_dataset_construction/9_cycle_only_baseline/artifacts/metrics/overall_metrics.json,"rmse, mae",Phase 1 cycle-only baseline,"20 locked scenarios, 2,000 rows",raw RUL,raw endpoint labels,pooled over held-out folds,none,verified,
C81,11,"Baseline bias is +17.712 cycles, so age alone systematically overpredicts",1_dataset_construction/9_cycle_only_baseline/artifacts/metrics/overall_metrics.json,bias,Phase 1 cycle-only baseline,"20 locked scenarios, 2,000 rows",raw RUL,raw endpoint labels,pooled over held-out folds,none,verified,
C82,11,"The 95% UAV-bootstrap interval for baseline R2 is [-0.153, +0.129]",1_dataset_construction/9_cycle_only_baseline/artifacts/metrics/overall_metrics.json,"bootstrap.r2_ci_lower_95, r2_ci_upper_95",Phase 1 cycle-only baseline,"20 locked scenarios, 2,000 rows",raw RUL,raw endpoint labels,"1,000 UAV-level resamples, seed 20260814",none,verified,
C83,11,"Baseline RMSE by cutoff band: 37.683, 61.567, 67.131 and 64.577 cycles",1_dataset_construction/9_cycle_only_baseline/artifacts/metrics/age_band_metrics.csv,rmse,Phase 1 cycle-only baseline,20 locked scenarios by cutoff band,raw RUL,raw endpoint labels,per band,none,verified,
C84,11,"Baseline R2 by cutoff band: -0.014, -0.012, -0.386 and -0.375",1_dataset_construction/9_cycle_only_baseline/artifacts/metrics/age_band_metrics.csv,r2,Phase 1 cycle-only baseline,20 locked scenarios by cutoff band,raw RUL,raw endpoint labels,per band,none,verified,
C85,11,Baseline coefficients are fitted per outer fold and applied to that fold's 20 held-out UAVs,1_dataset_construction/9_cycle_only_baseline/artifacts/fold_coefficients.csv,"intercept, slope",Phase 1 cycle-only baseline,5 outer folds,raw RUL,n/a,100 training UAVs,none,verified,
C86,11,"The plotted scatter is the 2,000 training prefixes with their true RUL at the cutoff",1_dataset_construction/4_training_prefixes/artifacts/training_prefixes.csv,"cutoff, RUL",Phase 1 cycle-only baseline,"2,000 training prefixes",raw RUL,n/a,100 training UAVs,none,verified,
C87,12,"Current scenarios with a raw target: XGBoost mean inner RMSE 29.8059 (fold SD 1.7513), R2 0.7708",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_1 XGBoost",PE_1,development inner folds,raw fitting target,raw endpoint RUL,mean over 5 outer folds,matrix control,documented,Not comparable with the early/middle cells: different evaluated target support
C88,12,"Current scenarios with cap 125: XGBoost mean inner RMSE 36.2141, R2 0.6690",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_2x2_current_cap125 XGBoost",PE_2x2_current_cap125,development inner folds,fitting cap 125,raw endpoint RUL,mean over 5 outer folds,PE_1 XGBoost,documented,Capping harmed this cell
C89,12,"Early/middle scenarios with a raw target: XGBoost mean inner RMSE 23.3667, R2 0.4867",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_2x2_early_raw XGBoost",PE_2x2_early_raw,development inner folds,raw fitting target,true RUL restricted to 1-125,mean over 5 outer folds,PE_1 XGBoost,documented,Lower RMSE comes partly from the narrower target support
C90,12,"Early/middle scenarios with cap 125: XGBoost mean inner RMSE 11.9746 (fold SD 0.9418), R2 0.8661",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_2x2_early_cap125 XGBoost",PE_2x2_early_cap125,development inner folds,fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,the other three cells,documented,Selected development cell
C91,12,ExtraTrees reproduces the same ordering in all four cells,literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, ExtraTrees rows",PE_1 and PE_2 2x2,development inner folds,as per cell,as per cell,mean over 5 outer folds,XGBoost,documented,"Independent family check, not an independent dataset"
C92,12,"The benefit of capping depends on the scenario profile, so the joint policy was frozen, not capping alone",literature_and_planning/development_documentation/pipeline_experiments.md,Development decision paragraph,PE_2 2x2,development inner folds,n/a,5 outer folds,n/a,none,documented,
C93,12,Restricting the evaluated target support changes both the difficulty and the R2 denominator,literature_and_planning/development_documentation/r2_research_2026_09_07/report.md,"PE_14 section, scenario-support discussion",interpretation rule,n/a,n/a,n/a,n/a,none,documented,Stated as a methodological caveat; the improvement across cells is not attributed to the model
C94,12,The retained fitting cap is 125 while reported metrics use raw endpoint labels,2_architecture_experiments/1_pipeline_experiments/experiments/_internal/shared_settings.toml,target/scenario profile settings,shared protocol,development and locked,fitting cap 125,raw endpoint RUL,n/a,n/a,documented,"Fitting-target capping, evaluation-target support and prediction clipping are three separate mechanisms"
C95,13,The retained model consumes 298 engineered features from the screened_drift_pruned set,3_final_model_training_and_inference/runs/run_7/4_final_model_training/artifacts/final_feature_order.json,feature_names (length); feature_set,Phase 3 Run 7,training prefixes,fitting cap 125,raw endpoint RUL,n/a,n/a,verified,
C96,13,Phase 2 saves comparison tables and selects no winner; the decision is manual in Phase 3,literature_and_planning/development_documentation/phase_2_modelArchitectureStudy.md,Architecture comparison and Phase 3 handoff,Phase 2 protocol,n/a,n/a,n/a,n/a,none,documented,
C97,13,"Locked comparison: XGBoost mean R2 0.8041, mean RMSE 28.4989",2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=xgboost,"architecture study run 5, settings version 11",20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,
C98,13,Locked comparison: Random Forest mean RMSE 30.0138,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=random_forest,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,
C99,13,Locked comparison: Extra Trees mean RMSE 31.2779,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=extra_trees,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,Shown in backup B1 only
C100,13,Locked comparison: sensor-graph TCN mean RMSE 48.2278,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=sensor_graph_tcn,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,"Result for this architecture, representation and budget only"
C101,13,Locked comparison: multi-scale CNN mean RMSE 51.4209,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=multiscale_cnn,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,"Result for this architecture, representation and budget only"
