claim_id,slide_number,claim,source_path,table_row_or_json_key,experiment_identity,data_scope,target_policy,evaluation_support,aggregation,comparator,status,limitation
C11,2,Public scores come from user-supplied Kaggle screenshots recorded on 7 September 2026,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv,source_attachment; recorded_on,score record,Kaggle public leaderboard,n/a,hidden test endpoints,n/a,n/a,documented,Not a live lookup; the recording date is not the submission date
C12,2,The public leaderboard scores about 30% of the test data; the final standing uses the other 70%,literature_and_planning/KAGGLE_CHALLENGE.md,Evaluation section,competition rules,hidden test set,n/a,hidden test endpoints,n/a,n/a,documented,Public positions may change substantially
C13,3,Phase 0 removed 6 effectively constant channels and named 10 degradation candidates,literature_and_planning/development_documentation/phase_0_dataAnalysis.md,Initial channel classification,Phase 0 core analysis,raw training data,n/a,n/a,100 training UAVs,none,documented,"Screening classification, not a model-performance result"
C14,3,telemetry_21 rises within 100 of 100 training UAVs; median within-UAV correlation with flight cycle +0.801,data/train.csv,"per-UAV corr(flight_cycle, telemetry_21)",recomputed in build_figures.py checks,raw training data,n/a,100 training UAVs,median and sign count across UAVs,none,verified,Association only; no physical meaning is claimed
C15,3,telemetry_25 falls within 100 of 100 training UAVs; median within-UAV correlation -0.798,data/train.csv,"per-UAV corr(flight_cycle, telemetry_25)",recomputed in build_figures.py checks,raw training data,n/a,100 training UAVs,median and sign count across UAVs,none,verified,Association only; no physical meaning is claimed
C16,3,telemetry_18 has 96% of its variance between UAVs and rises in only 44% of them,data/train.csv,between/within variance decomposition of telemetry_18,recomputed in build_figures.py checks,raw training data,n/a,100 training UAVs,variance share,none,verified,Between-UAV variation may be useful context or unwanted UAV identity
C17,3,telemetry_20 is exactly constant across the whole training set,data/train.csv,nunique(telemetry_20),recomputed in build_figures.py checks,raw training data,n/a,n/a,"24,720 rows",none,verified,
C18,3,"Six channels (03, 08, 14, 17, 20, 27) are effectively constant and were removed, leaving 22",literature_and_planning/development_documentation/phase_0_dataAnalysis.md,Channel removal summary,Phase 0 core analysis,raw training data,n/a,n/a,100 training UAVs,none,verified,Four of the six are constant to within floating-point noise rather than exactly constant
C19,3,"The training data holds 100 UAVs, 24,720 cycle rows and 28 channels",data/train.csv,shape and nunique(uav_id),raw competition data,raw training data,n/a,n/a,full training set,none,verified,
C20,4,The Phase 1 leakage verification report has status passed,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,status,Phase 1 legacy profile,training prefixes and scenarios,n/a,n/a,structural assertions,none,documented,"A passed report proves the encoded assertions hold, not that the model predicts well"
C21,4,"Validation uses 5 outer folds of 20 UAVs, each with 4 inner folds inside its 80 training UAVs",literature_and_planning/development_documentation/phase_1_datasetConstruction.md,UAV-grouped validation folds,Phase 1,training UAVs,n/a,n/a,100 training UAVs,none,documented,
C22,4,"The pipeline uses 2,000 training prefixes (20 per UAV) and 500 development scenario rows",1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,training feature rows; development validation rows,Phase 1,training prefixes and development scenarios,n/a,100 training UAVs,counts,none,documented,"Counts describe the current pipeline, not every historical study"
C23,4,"Each UAV carries a total training weight of 1, spread over its prefixes",literature_and_planning/development_documentation/phase_1_datasetConstruction.md,Training prefixes,Phase 1,training prefixes,n/a,n/a,100 training UAVs,none,documented,
C24,4,"47 of 100 test UAVs stop before cycle 145, the shortest complete training life",data/test.csv; data/train.csv,max(flight_cycle) per uav_id in both files,recomputed in build_figures.py,raw train and test,n/a,100 UAVs per split,count,none,verified,
C25,4,Training histories span 145-525 cycles; test histories span 38-475,data/train.csv; data/test.csv,min/max of max(flight_cycle) per uav_id,recomputed in build_figures.py,raw train and test,n/a,100 UAVs per split,range,none,verified,
C26,4,Prefix features are unchanged when post-cutoff telemetry is replaced by extreme values,1_dataset_construction/10_automated_leakage_checks/artifacts/verification_report.json,prefix causality check,Phase 1,10 sampled prefixes,n/a,10 prefixes,none,none,documented,"A sampled check, not an exhaustive proof"
C27,4,"Uncertainty is estimated by resampling whole UAVs, not prediction rows",literature_and_planning/development_documentation/phase_1_datasetConstruction.md,Validation metrics,Phase 1,development and locked predictions,n/a,100 UAVs,"1,000 UAV-level bootstrap resamples",none,documented,
C28,5,"Current scenarios with a raw target: XGBoost mean inner RMSE 29.8059 (fold SD 1.7513), R2 0.7708",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_1 XGBoost",PE_1,development inner folds,raw fitting target,raw endpoint RUL,mean over 5 outer folds,matrix control,documented,Not comparable with the early/middle cells: different evaluated target support
C29,5,"Current scenarios with cap 125: XGBoost mean inner RMSE 36.2141, R2 0.6690",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_2x2_current_cap125 XGBoost",PE_2x2_current_cap125,development inner folds,fitting cap 125,raw endpoint RUL,mean over 5 outer folds,PE_1 XGBoost,documented,Capping harmed this cell
C30,5,"Early/middle scenarios with a raw target: XGBoost mean inner RMSE 23.3667, R2 0.4867",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_2x2_early_raw XGBoost",PE_2x2_early_raw,development inner folds,raw fitting target,true RUL restricted to 1-125,mean over 5 outer folds,PE_1 XGBoost,documented,Lower RMSE comes partly from the narrower target support
C31,5,"Early/middle scenarios with cap 125: XGBoost mean inner RMSE 11.9746 (fold SD 0.9418), R2 0.8661",literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, PE_2x2_early_cap125 XGBoost",PE_2x2_early_cap125,development inner folds,fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,the other three cells,documented,Selected development cell
C32,5,ExtraTrees reproduces the same ordering in all four cells,literature_and_planning/development_documentation/pipeline_experiments.md,"Development Results table, ExtraTrees rows",PE_1 and PE_2 2x2,development inner folds,as per cell,as per cell,mean over 5 outer folds,XGBoost,documented,"Independent family check, not an independent dataset"
C33,5,"The benefit of capping depends on the scenario profile, so the joint policy was frozen, not capping alone",literature_and_planning/development_documentation/pipeline_experiments.md,Development decision paragraph,PE_2 2x2,development inner folds,n/a,5 outer folds,n/a,none,documented,
C34,5,Restricting the evaluated target support changes both the difficulty and the R2 denominator,literature_and_planning/development_documentation/r2_research_2026_09_07/report.md,"PE_14 section, scenario-support discussion",interpretation rule,n/a,n/a,n/a,n/a,none,documented,Stated as a methodological caveat; the improvement across cells is not attributed to the model
C35,5,The retained fitting cap is 125 while reported metrics use raw endpoint labels,2_architecture_experiments/1_pipeline_experiments/experiments/_internal/shared_settings.toml,target/scenario profile settings,shared protocol,development and locked,fitting cap 125,raw endpoint RUL,n/a,n/a,documented,"Fitting-target capping, evaluation-target support and prediction clipping are three separate mechanisms"
C36,6,The retained model consumes 298 engineered features from the screened_drift_pruned set,3_final_model_training_and_inference/runs/run_7/4_final_model_training/artifacts/final_feature_order.json,feature_names (length); feature_set,Phase 3 Run 7,training prefixes,fitting cap 125,raw endpoint RUL,n/a,n/a,verified,
C37,6,Ablation control (age plus latest values): XGBoost development R2 0.6081,literature_and_planning/development_documentation/pipeline_experiments.md,"Signal-family ablation table, PE_signal_control",PE_signal_family_ablation,development Step 5 only,raw fitting target,raw endpoint RUL,mean over 5 outer folds,n/a,documented,Locked evaluation was not opened for this group
C38,6,Ablation control: ExtraTrees development R2 0.5779,literature_and_planning/development_documentation/pipeline_experiments.md,"Signal-family ablation table, PE_signal_control",PE_signal_family_ablation,development Step 5 only,raw fitting target,raw endpoint RUL,mean over 5 outer folds,n/a,documented,
C39,6,Adding the inverse pair 15/23 gives delta R2 +0.1198 (XGBoost) and +0.1237 (ExtraTrees),literature_and_planning/development_documentation/pipeline_experiments.md,"Signal-family ablation table, PE_signal_family_15_23",PE_signal_family_ablation,development Step 5 only,raw fitting target,raw endpoint RUL,paired fold difference vs the same model's control,PE_signal_control,documented,
C40,6,"Adding all four signal families gives delta R2 +0.1731 and +0.1764, improving in 5 of 5 folds for both models",literature_and_planning/development_documentation/pipeline_experiments.md,"Signal-family ablation table, PE_signal_all_families",PE_signal_family_ablation,development Step 5 only,raw fitting target,raw endpoint RUL,paired fold difference; fold-win count,PE_signal_control,documented,"Fold wins are a screening heuristic, not a significance test"
C41,6,The channel-07 discrete-state family was unsupported: XGBoost lost all folds,literature_and_planning/development_documentation/pipeline_experiments.md,"Signal-family ablation table, PE_signal_family_07",PE_signal_family_ablation,development Step 5 only,raw fitting target,raw endpoint RUL,fold-win count,PE_signal_control,documented,
C42,6,"Signal compression, dense stride-5 prefixes and robust per-UAV normalisation were all rejected",literature_and_planning/development_documentation/pipeline_experiments.md,Degradation-Learning Experiment Register,PE_signal_compression; PE_dense_prefix_training; PE_baseline_normalization,development Step 5 only,raw fitting target,raw endpoint RUL,paired fold differences,their own controls,documented,
C43,7,Phase 2 saves comparison tables and selects no winner; the decision is manual in Phase 3,literature_and_planning/development_documentation/phase_2_modelArchitectureStudy.md,Architecture comparison and Phase 3 handoff,Phase 2 protocol,n/a,n/a,n/a,n/a,none,documented,
C44,7,"Locked comparison: XGBoost mean R2 0.8041, mean RMSE 28.4989",2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=xgboost,"architecture study run 5, settings version 11",20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,
C45,7,Locked comparison: Random Forest mean RMSE 30.0138,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=random_forest,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,
C46,7,Locked comparison: Extra Trees mean RMSE 31.2779,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=extra_trees,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,Shown in backup B1 only
C47,7,Locked comparison: sensor-graph TCN mean RMSE 48.2278,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=sensor_graph_tcn,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,"Result for this architecture, representation and budget only"
C48,7,Locked comparison: multi-scale CNN mean RMSE 51.4209,2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=multiscale_cnn,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,mean over 3 seeds,same locked endpoints,verified,"Result for this architecture, representation and budget only"
C49,7,"Locked comparison: mean baseline RMSE 73.6023, R2 -0.3066",2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/architecture_comparison.csv,model_family=mean_baseline,architecture study run 5,20 locked scenarios x 100 held-out UAVs,raw fitting target,raw endpoint RUL,single deterministic run,same locked endpoints,verified,
C50,7,"Hybrid study control: tree blend mean RMSE 11.5080, mean R2 0.8795",2_architecture_experiments/2_model_architecture_study/runs/run_8/7_architecture_comparison/hybrid_architecture_summary.csv,model_family=current_tree_blend,architecture study run 8,early/middle scenarios; fitting cap 125; metrics vs raw RUL,fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,n/a,verified,Different protocol from run 5; not comparable with C37-C42
C51,7,Hybrid GRU mean RMSE 14.6185 and 0 of 5 fold wins against the tree control,2_architecture_experiments/2_model_architecture_study/runs/run_8/7_architecture_comparison/hybrid_architecture_summary.csv,model_family=hybrid_gru,architecture study run 8,early/middle scenarios; fitting cap 125; metrics vs raw RUL,fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds; fold-win count,current_tree_blend,verified,Result for the tested representation and budget only
C52,7,Hybrid CNN mean RMSE 17.6705 and 0 of 5 fold wins,2_architecture_experiments/2_model_architecture_study/runs/run_8/7_architecture_comparison/hybrid_architecture_summary.csv,model_family=hybrid_cnn,architecture study run 8,early/middle scenarios; fitting cap 125; metrics vs raw RUL,fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds; fold-win count,current_tree_blend,verified,Result for the tested representation and budget only
C53,7,The dedicated temporal study's best model was LSTM at mean RMSE 19.5698 and mean R2 0.6531,2_architecture_experiments/2_model_architecture_study/runs/run_7/7_architecture_comparison/temporal_architecture_summary.csv,model_family=lstm,architecture study run 7 (temporal),"frozen PE_6 dense sampling policy, lookback 20",fitting cap 125,as per that study,mean over 5 folds,its own accuracy gate,verified,Different endpoints and protocol from run 5 and run 8; must not be placed on a common ranking
C54,8,"The retained ensemble uses 3 seeded XGBoost and 3 seeded ExtraTrees members (seeds 13, 37, 73)",3_final_model_training_and_inference/runs/run_7/1_winning_architecture_selection/artifacts/residual_ensemble_contract.json,components; member_seeds,Phase 3 Run 7,all 100 training UAVs,fitting cap 125,n/a,n/a,n/a,verified,
C55,8,The family blend weight is chosen from an 11-point grid using 4 internal training-side folds,3_final_model_training_and_inference/runs/run_7/1_winning_architecture_selection/artifacts/residual_ensemble_contract.json,xgboost_weight_grid; internal_folds,Phase 3 Run 7,training-side data only,fitting cap 125,n/a,n/a,n/a,verified,
C56,8,"The residual head is a histogram-gradient model with 7 leaves, 100 iterations, learning rate 0.05, L2 10, seed 13",3_final_model_training_and_inference/runs/run_7/1_winning_architecture_selection/artifacts/residual_ensemble_contract.json,residual_model,Phase 3 Run 7,training-side calibration endpoints,fitting cap 125,n/a,n/a,n/a,verified,
C57,8,"The residual head reads 8 sensor features: baseline delta and history slope for channels 07, 13, 19, 21",3_final_model_training_and_inference/runs/run_7/1_winning_architecture_selection/artifacts/residual_ensemble_contract.json,residual_features,Phase 3 Run 7,training-side calibration endpoints,fitting cap 125,n/a,n/a,n/a,verified,Feature association only; no physical sensor meaning is claimed
C58,8,The final estimate is clipped at a nonnegative minimum of 0,3_final_model_training_and_inference/runs/run_7/2_final_configuration_search/artifacts/selected_configuration.json,prediction_minimum,Phase 3 Run 7,test inference,fitting cap 125,n/a,n/a,n/a,verified,Prediction clipping is distinct from fitting-target capping
C59,8,Residual correction reduced mean RMSE from 11.5080 to 11.0243 (4.20%) and won 5 of 5 folds,2_architecture_experiments/1_pipeline_experiments/experiments/PE_11/runs/run_1/reporting/summary.csv; .../winner_manifest.json,method=residual_corrected; relative_rmse_improvement_vs_control; fold_wins_vs_control,PE_11,"development, 5 outer folds",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,frozen PE_3 calibrated blend (blend_xgb_0.50__calibrated),verified,The PE_11 report is not a fully nested estimate of its own stack; see backup B3
C60,8,"Simple six-member averaging reached only 12.0181, worse than the 11.5080 control",2_architecture_experiments/1_pipeline_experiments/experiments/PE_11/runs/run_1/reporting/summary.csv,method=member_mean,PE_11,"development, 5 outer folds",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,frozen PE_3 calibrated blend,verified,
C61,9,"Uncalibrated control: mean-fold R2 0.89422, RMSE 10.5306, RMS overprediction 7.255",2_architecture_experiments/1_pipeline_experiments/experiments/PE_4/runs/run_1/reporting/calibration_summary.csv,policy=control,PE_4,"500 development OOF rows, 5 outer folds",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,n/a,verified,"Source predictions are Phase 3 Run 5, not Run 7"
C62,9,"q = 0.50: mean-fold R2 0.89456, RMS overprediction 6.817 - the most accurate policy",2_architecture_experiments/1_pipeline_experiments/experiments/PE_4/runs/run_1/reporting/calibration_summary.csv,policy=q_0.50,PE_4,"500 development OOF rows, 5 outer folds",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,control,verified,
C63,9,"q = 0.55 was selected: mean-fold R2 0.89253, RMSE 10.6430, RMS overprediction 6.567",2_architecture_experiments/1_pipeline_experiments/experiments/PE_4/runs/run_1/reporting/calibration_summary.csv; .../artifacts/selected_calibrator.json,policy=q_0.55; selection,PE_4,"500 development OOF rows, 5 outer folds",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,control,verified,"Reduced overprediction is an error property, not evidence about flight safety"
C64,9,"q = 0.70: mean-fold R2 0.87070, RMS overprediction 5.053 - rejected accuracy loss",2_architecture_experiments/1_pipeline_experiments/experiments/PE_4/runs/run_1/reporting/calibration_summary.csv,policy=q_0.70,PE_4,"500 development OOF rows, 5 outer folds",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,control,verified,
C65,9,"The selection rule admits only policies within 0.005 mean-fold R2 of the best, then minimises RMS overprediction",2_architecture_experiments/1_pipeline_experiments/experiments/PE_4/runs/run_1/artifacts/selected_calibrator.json,selection.selection_rule; r2_tolerance,PE_4,development,n/a,n/a,n/a,n/a,verified,"A practical gate declared in advance, not a statistical test"
C66,10,"The saved Run 7 development set has 500 rows, 100 UAVs and 444 distinct (UAV, cutoff) endpoints",literature_and_planning/development_documentation/r2_research_2026_09_07/diagnostic_summary.json,run7.rows; run7.uavs; unique_uav_cutoff_pairs,Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,pooled,n/a,verified,
C67,10,True RUL bands 51-125 hold 90.5% of the squared error from 79.6% of the rows,literature_and_planning/development_documentation/r2_research_2026_09_07/error_bands.csv,"run=7, grouping=observed_rul, sse_share",Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,share of pooled squared error,n/a,verified,Descriptive for this saved prediction set only
C68,10,Bias is +4.92 cycles in the 76-100 band and -4.54 in the 101-125 band,literature_and_planning/development_documentation/r2_research_2026_09_07/error_bands.csv,"run=7, grouping=observed_rul, bias",Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,mean signed error per band,n/a,verified,Narrow-band R2 is unstable here; band RMSE and bias are used instead
C69,10,The 105 rows with at most 100 observed cycles hold 32.5% of the squared error at RMSE 12.80,literature_and_planning/development_documentation/r2_research_2026_09_07/error_bands.csv,"run=7, grouping=cutoff, band<=100",Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,share of pooled squared error,n/a,verified,Descriptive for this saved prediction set only
C70,10,Those 105 rows are 21% of the evaluated rows,literature_and_planning/development_documentation/r2_research_2026_09_07/error_bands.csv,"run=7, grouping=cutoff, rows",Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,row count,n/a,verified,
C71,10,The ten highest-error UAVs contribute 38.7% of the total squared error,literature_and_planning/development_documentation/r2_research_2026_09_07/diagnostic_summary.json,run7_top10_uavs_sse_share,Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,share of pooled squared error,n/a,verified,Inspect their trajectories for hypotheses; no UAV-specific correction was made
C72,10,The short-history specialist improved mean RMSE by only 0.389% with 6 of 15 fold wins and pooled R2 0.89924,2_architecture_experiments/1_pipeline_experiments/experiments/PE_26/runs/run_1/reporting/summary.csv; .../promotion_decisions.csv,method=short_history_blend,PE_26,"development, 15 outer partitions on 3 split seeds",fitting cap 125,true RUL restricted to 1-125,mean over 15 folds; pooled R2,unchanged Run 7 recipe,verified,"Gate required 2%, 12 of 15 wins, pooled R2 at least 0.90 and a favourable bootstrap interval"
C73,10,PE_26 completed 150 model fits and did not promote its specialist,2_architecture_experiments/1_pipeline_experiments/experiments/PE_26/runs/run_1/reporting/winner_manifest.json,expected_model_fits; status; promoted,PE_26,development,fitting cap 125,n/a,n/a,Run 7 control,verified,
C74,11,Forecast-history screen control: mean RMSE 11.0243,2_architecture_experiments/1_pipeline_experiments/experiments/PE_15/runs/run_1/reporting/summary.csv,method=control,PE_15,"development, 5 outer folds, saved base predictions",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,n/a,verified,Screening control differs from the PE_20 control
C75,11,"Forecast-history screen: mean RMSE 9.5916, 13.00% better, 5 of 5 folds, bootstrap RMSE delta [-1.944, -0.946]",2_architecture_experiments/1_pipeline_experiments/experiments/PE_15/runs/run_1/reporting/summary.csv; .../promotion_decisions.csv,method=prediction_history,PE_15,"development, 5 outer folds, saved base predictions",fitting cap 125,true RUL restricted to 1-125,"mean over 5 outer folds; 1,000 UAV bootstrap resamples",its own control,verified,"The base predictions came from a global out-of-fold table, so this is a screen, not a validation result"
C76,11,The PE_15 manifest labels the result screening_only and forbids automatic promotion,2_architecture_experiments/1_pipeline_experiments/experiments/PE_15/runs/run_1/reporting/winner_manifest.json,selection_scope; promotion_allowed,PE_15,development,n/a,n/a,n/a,n/a,verified,
C77,11,Complete nested refit control: mean RMSE 10.2361 (the retained Run 7 recipe),2_architecture_experiments/1_pipeline_experiments/experiments/PE_20/runs/run_1/reporting/summary.csv,method=control,PE_20,"development, 5 outer and 20 inner cells, complete refit",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds,n/a,verified,
C78,11,Under a complete nested refit the same features regressed by 1.56% and won 2 of 5 folds,2_architecture_experiments/1_pipeline_experiments/experiments/PE_20/runs/run_1/reporting/summary.csv; .../promotion_decisions.csv,method=prediction_history; relative_rmse_improvement,PE_20,"development, complete nested refit",fitting cap 125,true RUL restricted to 1-125,"mean over 5 outer folds; 1,000 UAV bootstrap resamples",its own control,verified,Different control and procedure from PE_15; the two must not be plotted on one improvement curve
C79,11,"TabPFN blend on five folds: mean RMSE 10.1035 versus control 10.2361, 1.30% better, 4 of 5 folds",2_architecture_experiments/1_pipeline_experiments/experiments/PE_18/runs/run_1/reporting/summary.csv,method=control_plus_tabpfn_full,PE_18,"development, 5 outer folds, complete outer evaluation",fitting cap 125,true RUL restricted to 1-125,mean over 5 outer folds; fold-win count,Run 7 control,verified,Passed a practical gate; the paired bootstrap interval crossed zero
C80,11,"PE_18 was promoted only for confirmation, not for production",2_architecture_experiments/1_pipeline_experiments/experiments/PE_18/runs/run_1/reporting/winner_manifest.json,status; promoted,PE_18,development,fitting cap 125,n/a,n/a,Run 7 control,verified,
C81,11,On two new grouped split seeds the blend gave 1.12% with 6 of 10 fold wins and was not promoted,2_architecture_experiments/1_pipeline_experiments/experiments/PE_21/runs/run_1/reporting/summary.csv; .../winner_manifest.json,method=control_plus_tabpfn_full; minimum_fold_wins; status,PE_21,"development, 10 outer and 40 inner partitions",fitting cap 125,true RUL restricted to 1-125,mean over 10 folds; fold-win count,Run 7 control,verified,"New split seeds of the same 100 UAVs are a robustness check, not a fresh holdout"
C82,11,The pre-registered regime gate gave 1.896% with 11 of 15 fold wins against a required 12 of 15,2_architecture_experiments/1_pipeline_experiments/experiments/PE_24/runs/run_1/reporting/summary.csv; .../winner_manifest.json,method=regime_tabpfn_blend; minimum_fold_wins; status,PE_24,"development, 15 outer partitions on 3 split seeds",fitting cap 125,true RUL restricted to 1-125,mean over 15 folds; fold-win count,Run 7 control (10.3106),verified,
C83,11,"The PE_24 UAV-bootstrap RMSE-change interval was [-0.5137, +0.0862] cycles and crosses zero",literature_and_planning/development_documentation/pipeline_experiments.md; 2_architecture_experiments/1_pipeline_experiments/experiments/PE_24/runs/run_1/reporting/winner_manifest.json,PE_24 run 1 paragraph; require_bootstrap_improvement,PE_24,"development, 15 outer partitions",fitting cap 125,true RUL restricted to 1-125,"1,000 whole-UAV bootstrap resamples",Run 7 control,documented,"A positive mean with an interval crossing zero is uncertain evidence, not proof of no effect"
C84,11,Neither sequence was promoted; Phase 3 Run 7 remains the retained model,2_architecture_experiments/1_pipeline_experiments/experiments/PE_24/runs/run_1/reporting/winner_manifest.json,winner=control; promoted=false,"PE_20, PE_21, PE_24",development,fitting cap 125,n/a,n/a,Run 7 control,verified,
C85,12,Phase 3 Run 6 reached mean-fold R2 0.89274 and mean-fold RMSE 10.6332,3_final_model_training_and_inference/runs/run_6/7_post_run_reporting/report_summary.json,selected_mean_fold_r2; selected_mean_fold_rmse,Phase 3 Run 6,"5 development folds, 500 rows",fitting cap 125,true RUL restricted to 1-125,mean over 5 folds,n/a,verified,
C86,12,Phase 3 Run 7 reached mean-fold R2 0.90041 and mean-fold RMSE 10.2361,3_final_model_training_and_inference/runs/run_7/7_post_run_reporting/report_summary.json,selected_mean_fold_r2; selected_mean_fold_rmse,Phase 3 Run 7,"5 development folds, 500 rows",fitting cap 125,true RUL restricted to 1-125,mean over 5 folds,Run 6,verified,Development scope only
C87,12,Pooling the same 500 Run 7 predictions gives R2 0.90446 and RMSE 10.2929,literature_and_planning/development_documentation/r2_research_2026_09_07/diagnostic_summary.json,run7.r2; run7.rmse,Phase 3 Run 7 diagnostics,500 development rows,fitting cap 125,true RUL restricted to 1-125,pooled over rows,mean-fold aggregation,verified,"A different aggregation of the same predictions, not a better result"
